,zipcode,count,amusement arcade,amusement device permanent,amusement device portable,amusement device temporary,auction house premises,auctioneer,bingo game operator,booting company,cabaret,catering establishment,cigarette retail dealer,commercial lessor,dealer in products,debt collection agency,electronic & appliance service,electronics store,employment agency,games of chance,gaming cafe,garage,garage and parking lot,general vendor,general vendor distributor,home improvement contractor,home improvement salesperson,horse drawn cab owner,horse drawn driver,laundries,laundry,laundry jobber,locksmith,locksmith apprentice,motion picture projectionist,newsstand,parking lot,pawnbroker,pedicab business,pedicab driver,pool or billiard room,process server individual,process serving agency,scale dealer repairer,scrap metal processor,secondhand dealer - auto,secondhand dealer - firearms,secondhand dealer - general,sidewalk cafe,sightseeing bus,special sale,stoop line stand,storage warehouse,ticket seller,tow truck company,tow truck driver,tow truck exemption
32,10035,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0,5.0,17.0,0.0,0.0,0.0,7.0,3.0,32.0,0.0,16.0,10.0,0.0,0.0,0.0,11.0,5.0,9.0,0.0,0.0,2.0,4.0,2.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,11.0,0.0
33,10036,752,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,74.0,0.0,1.0,2.0,9.0,19.0,24.0,2.0,0.0,27.0,0.0,30.0,0.0,23.0,16.0,5.0,3.0,0.0,3.0,13.0,6.0,0.0,4.0,15.0,14.0,33.0,10.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,338.0,34.0,1.0,0.0,8.0,0.0,7.0,5.0,3.0,0.0
34,10037,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,21.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0
35,10038,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,3.0,1.0,4.0,9.0,2.0,2.0,0.0,14.0,1.0,10.0,0.0,20.0,10.0,0.0,0.0,0.0,1.0,10.0,5.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0
36,10039,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,29.0,0.0,10.0,10.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
37,10040,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,12.0,22.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,15.0,11.0,0.0,3.0,0.0,11.0,7.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,14.0,0.0,4.0,1.0,4.0,0.0
38,10041,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,10044,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10055,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,10065,248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,1.0,0.0,2.0,5.0,3.0,0.0,0.0,39.0,5.0,1.0,0.0,15.0,14.0,0.0,0.0,2.0,9.0,34.0,5.0,0.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,21.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0
