FID,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
83,10011,0,New York,50594,18118416.85,NY,New York,36,061,http://www.usps.com/,0,0
84,10016,0,New York,54606,15042403.04,NY,New York,36,061,http://www.usps.com/,0,0
85,11104,0,Sunnyside,27127,12084432.12,NY,Queens,36,081,http://www.usps.com/,0,0
86,11109,0,Long Island City,2752,581237.1506,NY,Queens,36,081,http://www.usps.com/,0,0
87,10010,0,New York,29881,9768395.57,NY,New York,36,061,http://www.usps.com/,0,0
88,11367,0,Flushing,41773,72810151.59,NY,Queens,36,081,http://www.usps.com/,0,0
89,10014,0,New York,31328,14151052.03,NY,New York,36,061,http://www.usps.com/,0,0
90,10003,0,New York,55878,15538376.27,NY,New York,36,061,http://www.usps.com/,0,0
91,11222,0,Brooklyn,36315,42825293.24,NY,Kings,36,047,http://www.usps.com/,0,0
92,10002,0,New York,81305,26280128.54,NY,New York,36,061,http://www.usps.com/,0,0
93,11378,0,Maspeth,35473,66260538.74,NY,Queens,36,081,http://www.usps.com/,0,0
94,10009,0,New York,61455,15903519.3,NY,New York,36,061,http://www.usps.com/,0,0
95,10012,0,New York,24276,9193739,NY,New York,36,061,http://www.usps.com/,0,0
96,10013,0,New York,27985,15580578.83,NY,New York,36,061,http://www.usps.com/,0,0
97,10007,0,New York,7323,5327870.977,NY,New York,36,061,http://www.usps.com/,0,0
98,11237,0,Brooklyn,49335,27425868.17,NY,Kings,36,047,http://www.usps.com/,0,0
99,11385,0,Ridgewood,98436,124786310.9,NY,Queens,36,081,http://www.usps.com/,0,0
100,10038,0,New York,19127,7022760.643,NY,New York,36,061,http://www.usps.com/,0,0
101,11206,0,Brooklyn,83575,40700720.97,NY,Kings,36,047,http://www.usps.com/,0,0
102,10006,0,New York,3011,1716640.92,NY,New York,36,061,http://www.usps.com/,0,0
103,11412,0,Saint Albans,35019,45842752.23,NY,Queens,36,081,http://www.usps.com/,0,0
104,10005,0,New York,8107,2082901.141,NY,New York,36,061,http://www.usps.com/,0,0
105,11251,0,Brooklyn,74,10245952.25,NY,Kings,36,047,http://www.usps.com/,0,0
106,10004,0,New York,2187,4002521.097,NY,New York,36,061,http://www.usps.com/,0,0
107,11411,0,Cambria Heights,18216,35889597.38,NY,Queens,36,081,http://www.usps.com/,0,0
108,11201,0,Brooklyn,53041,41094886.77,NY,Kings,36,047,http://www.usps.com/,0,0
109,10004,0,New York,2187,1202707.707,NY,New York,36,061,http://www.usps.com/,0,0
110,11205,0,Brooklyn,41125,23270147.95,NY,Kings,36,047,http://www.usps.com/,0,0
111,11208,0,Brooklyn,94410,79303684.26,NY,Kings,36,047,http://www.usps.com/,0,0
112,11207,0,Brooklyn,93556,73966260.54,NY,Kings,36,047,http://www.usps.com/,0,0
113,10004,0,New York,2187,7679615.511,NY,New York,36,061,http://www.usps.com/,0,0
114,10004,0,New York,2187,670708.02,NY,New York,36,061,http://www.usps.com/,0,0
115,11413,0,Springfield Gardens,39349,86208498.59,NY,Queens,36,081,http://www.usps.com/,0,0
116,11217,0,Brooklyn,36615,21648157.8,NY,Kings,36,047,http://www.usps.com/,0,0
117,11238,0,Brooklyn,46664,29429423.46,NY,Kings,36,047,http://www.usps.com/,0,0
118,11231,0,Brooklyn,33144,39379691.79,NY,Kings,36,047,http://www.usps.com/,0,0
119,11422,0,Rosedale,30139,60120657.21,NY,Queens,36,081,http://www.usps.com/,0,0
120,11420,0,South Ozone Park,44538,61879568.37,NY,Queens,36,081,http://www.usps.com/,0,0
121,11417,0,Ozone Park,28562,31099087.11,NY,Queens,36,081,http://www.usps.com/,0,0
122,11215,0,Brooklyn,63272,61922821.75,NY,Kings,36,047,http://www.usps.com/,0,0
123,11231,0,Brooklyn,33144,701979.3853,NY,Kings,36,047,http://www.usps.com/,0,0
124,11232,0,Brooklyn,29521,55879065.15,NY,Kings,36,047,http://www.usps.com/,0,0
125,11430,0,Jamaica,16,199913664.3,NY,Queens,36,081,http://www.usps.com/,0,0
126,11203,0,Brooklyn,78060,60644835.46,NY,Kings,36,047,http://www.usps.com/,0,0
127,11239,0,Brooklyn,12562,41794660.77,NY,Kings,36,047,http://www.usps.com/,0,0
128,11236,0,Brooklyn,94480,96373991.62,NY,Kings,36,047,http://www.usps.com/,0,0
129,11220,0,Brooklyn,97257,47453785.79,NY,Kings,36,047,http://www.usps.com/,0,0
130,10301,0,Staten Island,40438,105182712.6,NY,Richmond,36,085,http://www.usps.com/,0,0
131,10303,0,Staten Island,27048,81629773.52,NY,Richmond,36,085,http://www.usps.com/,0,0
132,11234,0,Brooklyn,85853,206201040.1,NY,Kings,36,047,http://www.usps.com/,0,0
133,10302,0,Staten Island,18123,29555323.02,NY,Richmond,36,085,http://www.usps.com/,0,0
134,11693,0,Far Rockaway,11052,46471727.17,NY,Queens,36,081,http://www.usps.com/,0,0
135,11209,0,Brooklyn,69255,57842313.96,NY,Kings,36,047,http://www.usps.com/,0,0
136,10304,0,Staten Island,41502,98226679.8,NY,Richmond,36,085,http://www.usps.com/,0,0
137,10314,0,Staten Island,85430,473985727.1,NY,Richmond,36,085,http://www.usps.com/,0,0
138,11228,0,Brooklyn,43080,43893024.73,NY,Kings,36,047,http://www.usps.com/,0,0
139,11096,0,Inwood,147,1512446.305,NY,Queens,36,081,http://www.usps.com/,0,0
140,10305,0,Staten Island,41746,111441829.3,NY,Richmond,36,085,http://www.usps.com/,0,0
141,11229,0,Brooklyn,79608,60119326.14,NY,Kings,36,047,http://www.usps.com/,0,0
142,11214,0,Brooklyn,89061,61096539.39,NY,Kings,36,047,http://www.usps.com/,0,0
143,11691,0,Far Rockaway,60267,83927815.11,NY,Queens,36,081,http://www.usps.com/,0,0
144,11096,0,Inwood,147,111973.734,NY,Queens,36,081,http://www.usps.com/,0,0
145,11223,0,Brooklyn,79864,58702923.47,NY,Kings,36,047,http://www.usps.com/,0,0
146,11693,0,Far Rockaway,11052,1527599.164,NY,Queens,36,081,http://www.usps.com/,0,0
147,11692,0,Arverne,18018,23992395.38,NY,Queens,36,081,http://www.usps.com/,0,0
148,11235,0,Brooklyn,76130,69053803.03,NY,Kings,36,047,http://www.usps.com/,0,0
149,11693,0,Far Rockaway,11052,12270916.53,NY,Queens,36,081,http://www.usps.com/,0,0
150,10306,0,Staten Island,55602,174102872,NY,Richmond,36,085,http://www.usps.com/,0,0
151,11694,0,Rockaway Park,20163,48101606.61,NY,Queens,36,081,http://www.usps.com/,0,0
152,11224,0,Brooklyn,49600,46701983.75,NY,Kings,36,047,http://www.usps.com/,0,0
153,10308,0,Staten Island,27612,62751041.82,NY,Richmond,36,085,http://www.usps.com/,0,0
154,11697,0,Breezy Point,4079,59789760.62,NY,Queens,36,081,http://www.usps.com/,0,0
155,10312,0,Staten Island,58506,169087432.9,NY,Richmond,36,085,http://www.usps.com/,0,0
156,10309,0,Staten Island,33114,215835793.5,NY,Richmond,36,085,http://www.usps.com/,0,0
157,10307,0,Staten Island,14096,46028382.63,NY,Richmond,36,085,http://www.usps.com/,0,0
158,10280,0,New York,3170,2234114.007,NY,New York,36,061,http://www.usps.com/,0,0
159,11372,0,Jackson Heights,66636,20163283.87,NY,Queens,36,081,http://www.usps.com/,0,0
160,11004,0,Glen Oaks,11776,22606526.91,NY,Queens,36,081,http://www.usps.com/,0,0
161,11040,0,New Hyde Park,2349,6269333.412,NY,Queens,36,081,http://www.usps.com/,0,0
162,11426,0,Bellerose,20050,49609163.54,NY,Queens,36,081,http://www.usps.com/,0,0
163,11365,0,Fresh Meadows,40528,69385865.59,NY,Queens,36,081,http://www.usps.com/,0,0
164,11001,0,Floral Park,3944,9155180.263,NY,Queens,36,081,http://www.usps.com/,0,0
165,11375,0,Forest Hills,68555,55587771.83,NY,Queens,36,081,http://www.usps.com/,0,0
166,11427,0,Queens Village,21942,39435767.42,NY,Queens,36,081,http://www.usps.com/,0,0
167,11374,0,Rego Park,42755,25203558.58,NY,Queens,36,081,http://www.usps.com/,0,0
168,11366,0,Fresh Meadows,13168,20358592.75,NY,Queens,36,081,http://www.usps.com/,0,0
169,11423,0,Hollis,30243,45095032.1,NY,Queens,36,081,http://www.usps.com/,0,0
170,11428,0,Queens Village,18818,21927545.49,NY,Queens,36,081,http://www.usps.com/,0,0
171,11432,0,Jamaica,62075,60177575.64,NY,Queens,36,081,http://www.usps.com/,0,0
172,11379,0,Middle Village,35428,57622817.05,NY,Queens,36,081,http://www.usps.com/,0,0
173,11429,0,Queens Village,25116,39559398.28,NY,Queens,36,081,http://www.usps.com/,0,0
174,11435,0,Jamaica,53404,42105899.16,NY,Queens,36,081,http://www.usps.com/,0,0
175,11415,0,Kew Gardens,18990,16802279.51,NY,Queens,36,081,http://www.usps.com/,0,0
176,11418,0,Richmond Hill,36607,32025130.92,NY,Queens,36,081,http://www.usps.com/,0,0
177,11433,0,Jamaica,33679,47739432.6,NY,Queens,36,081,http://www.usps.com/,0,0
178,11451,0,Jamaica,0,487599.7268,NY,Queens,36,081,http://www.usps.com/,0,0
179,11221,0,Brooklyn,80232,38580480.43,NY,Kings,36,047,http://www.usps.com/,0,0
180,11421,0,Woodhaven,39014,24314441.76,NY,Queens,36,081,http://www.usps.com/,0,0
181,11419,0,South Richmond Hill,47054,31278858.1,NY,Queens,36,081,http://www.usps.com/,0,0
182,11434,0,Jamaica,57989,87379704.16,NY,Queens,36,081,http://www.usps.com/,0,0
183,11216,0,Brooklyn,53862,26478229.26,NY,Kings,36,047,http://www.usps.com/,0,0
184,11416,0,Ozone Park,25423,18854849.8,NY,Queens,36,081,http://www.usps.com/,0,0
185,11233,0,Brooklyn,66737,37871693.68,NY,Kings,36,047,http://www.usps.com/,0,0
186,10055,1,New York,12,37223.53879,NY,New York,36,061,http://www.usps.com/,0,0
187,10019,0,New York,41966,18828383.12,NY,New York,36,061,http://www.usps.com/,0,0
188,10111,0,New York,0,103066.2533,NY,New York,36,061,http://www.usps.com/,0,0
189,10153,1,New York,0,80339.64723,NY,New York,36,061,http://www.usps.com/,0,0
190,10154,1,New York,0,79148.80239,NY,New York,36,061,http://www.usps.com/,0,0
191,10152,1,New York,0,59924.99827,NY,New York,36,061,http://www.usps.com/,0,0
192,10115,0,New York,0,71720.11547,NY,New York,36,061,http://www.usps.com/,0,0
193,10022,0,New York,33135,12728335.62,NY,New York,36,061,http://www.usps.com/,0,0
194,11370,0,Bronx,40591,18190205.19,NY,Bronx,36,005,http://www.usps.com/,0,0
195,10065,0,New York,33459,11442579.55,NY,New York,36,061,http://www.usps.com/,0,0
196,10075,0,New York,25203,4809654.276,NY,New York,36,061,http://www.usps.com/,0,0
197,10069,0,New York,5850,2372365.889,NY,New York,36,061,http://www.usps.com/,0,0
198,10281,0,New York,4017,955857.8219,NY,New York,36,061,http://www.usps.com/,0,0
199,10282,0,New York,4139,1562844.987,NY,New York,36,061,http://www.usps.com/,0,0
200,11211,0,Brooklyn,60861,40470881.67,NY,Kings,36,047,http://www.usps.com/,0,0
201,11373,0,Elmhurst,101282,42654860.34,NY,Queens,36,081,http://www.usps.com/,0,0
202,10279,1,New York,0,28664.70581,NY,New York,36,061,http://www.usps.com/,0,0
